17|0.000001 0.000000 0.000001|0.000001 0.000000 0.000001|0.000001 0.000000 0.000001|
167|0.000017 0.000001 0.000017|0.000013 0.000002 0.000013|0.000005 0.000000 0.000005|
353|0.000032 0.000005 0.000032|0.000025 0.000001 0.000025|0.000011 0.000000 0.000011|
563|0.000050 0.000001 0.000050|0.000042 0.000001 0.000041|0.000018 0.000003 0.000018|
761|0.000067 0.000002 0.000067|0.000065 0.000030 0.000061|0.000023 0.000001 0.000023|
991|0.000103 0.000007 0.000103|0.000104 0.000005 0.000104|0.000044 0.000003 0.000044|
1217|0.000124 0.000014 0.000123|0.000092 0.000003 0.000092|0.000039 0.000002 0.000039|
1453|0.000134 0.000005 0.000134|0.000112 0.000004 0.000112|0.000049 0.000002 0.000048|
1669|0.000154 0.000003 0.000154|0.000131 0.000005 0.000131|0.000057 0.000003 0.000057|
1933|0.000180 0.000004 0.000180|0.000152 0.000004 0.000152|0.000067 0.000005 0.000067|
2179|0.000202 0.000005 0.000202|0.000174 0.000005 0.000174|0.000075 0.000003 0.000075|
2417|0.000229 0.000010 0.000229|0.000198 0.000006 0.000197|0.000082 0.000003 0.000082|
2689|0.000254 0.000009 0.000254|0.000214 0.000004 0.000214|0.000095 0.000003 0.000095|
2927|0.000277 0.000007 0.000277|0.000235 0.000004 0.000235|0.000102 0.000004 0.000102|
3217|0.000305 0.000007 0.000305|0.000261 0.000015 0.000261|0.000112 0.000004 0.000112|
3469|0.000334 0.000006 0.000334|0.000289 0.000007 0.000289|0.000124 0.000004 0.000124|
5881|0.000577 0.000009 0.000577|0.000566 0.000066 0.000562|0.000227 0.000010 0.000227|
6203|0.000635 0.000034 0.000634|0.000556 0.000040 0.000555|0.000260 0.000056 0.000255|
6469|0.000674 0.000046 0.000672|0.000630 0.000113 0.000621|0.000258 0.000034 0.000256|
6763|0.000670 0.000010 0.000670|0.000597 0.000017 0.000596|0.000253 0.000009 0.000252|
7019|0.000696 0.000010 0.000695|0.000599 0.000012 0.000599|0.000260 0.000013 0.000260|
7333|0.000732 0.000008 0.000732|0.000646 0.000017 0.000646|0.000281 0.000011 0.000281|
7607|0.000755 0.000009 0.000755|0.000666 0.000018 0.000666|0.000341 0.000123 0.000326|
7907|0.000792 0.000009 0.000792|0.000733 0.000057 0.000731|0.000302 0.000017 0.000302|
8221|0.000824 0.000008 0.000824|0.000726 0.000018 0.000726|0.000305 0.000012 0.000305|
8527|0.000858 0.000009 0.000858|0.000748 0.000020 0.000748|0.000321 0.000011 0.000321|
8783|0.000882 0.000012 0.000882|0.000788 0.000023 0.000788|0.000331 0.000014 0.000331|
9067|0.000912 0.000011 0.000912|0.000808 0.000025 0.000808|0.000342 0.000009 0.000342|
9371|0.000943 0.000013 0.000943|0.000821 0.000013 0.000821|0.000357 0.000014 0.000357|
9643|0.000971 0.000028 0.000970|0.000864 0.000013 0.000864|0.000375 0.000027 0.000374|
9923|0.001001 0.000012 0.001000|0.000880 0.000017 0.000880|0.000375 0.000010 0.000375|
10007|0.001008 0.000011 0.001008|0.000888 0.000016 0.000888|0.000379 0.000013 0.000379|
11239|0.001144 0.000018 0.001144|0.000988 0.000025 0.000988|0.000433 0.000017 0.000432|
18583|0.001928 0.000029 0.001927|0.001714 0.000045 0.001713|0.000736 0.000037 0.000736|
19937|0.002072 0.000034 0.002072|0.001819 0.000041 0.001818|0.000793 0.000026 0.000793|
21187|0.002192 0.000024 0.002192|0.001931 0.000043 0.001930|0.000837 0.000029 0.000836|
22441|0.002337 0.000023 0.002336|0.002084 0.000049 0.002084|0.000922 0.000030 0.000921|
23719|0.002466 0.000022 0.002466|0.002211 0.000044 0.002210|0.000961 0.000033 0.000960|
101101|0.010627 0.000098 0.010626|0.009242 0.000144 0.009241|0.004381 0.000117 0.004380|
527183|0.051541 0.000335 0.051539|0.042516 0.000528 0.042513|0.027272 0.000561 0.027266|
6291456|0.574446 0.004907 0.574425|0.469675 0.003829 0.469659|0.815731 0.007761 0.815694|
